"filename", "language", "JavaScript", "PostCSS", "JavaScript JSX", "Markdown", "JSON", "XML", "HTML", "comment", "blank", "total"
"d:\ecommerce-system\apps\seller-app\src\services\orderApi.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 15, 58
"d:\ecommerce-system\apps\seller-app\src\services\productApi.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ecommerce-system\apps\seller-app\src\services\sellerApi.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"d:\ecommerce-system\apps\seller-app\src\store\orderSlice.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ecommerce-system\apps\seller-app\src\utils\buildFormData.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ecommerce-system\apps\seller-app\src\utils\generateSKU.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ecommerce-system\apps\seller-app\src\utils\slugify.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ecommerce-system\apps\seller-app\src\utils\validateProduct.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ecommerce-system\apps\seller-app\vite.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 3, 10
"Total", "-", 140360, 8, 6960, 9, 4173, 27, 13, 19378, 2337, 173265
